depth_m;dens;dd
10.92;509.17;0
10.93;509.17;0
10.94;509.17;0
10.95;509.17;0
10.96;509.17;0
10.97;509.17;0
10.98;509.17;0
10.99;509.17;0
11;509.17;0
11.01;509.17;0
11.02;509.17;0
11.03;509.17;0
11.04;509.17;0
11.05;509.17;0
11.06;850;100
11.07;850;100
11.08;850;100
11.09;850;100
11.1;535.31;0
11.11;535.31;0
11.12;535.31;0
11.13;535.31;0
11.14;535.31;0
11.15;850;100
11.16;850;100
11.17;850;100
11.18;535.31;0
11.19;535.31;0
11.2;535.31;0
11.21;535.31;0
11.22;535.31;0
11.23;850;100
11.24;850;100
11.25;535.31;0
11.26;535.31;0
11.27;535.31;0
11.28;535.31;0
11.29;535.31;0
11.3;535.31;0
11.31;535.31;0
11.32;535.31;0
11.33;535.31;0
11.34;535.31;0
11.35;535.31;0
11.36;535.31;0
11.37;535.31;0
11.38;535.31;0
11.39;535.31;0
11.4;535.31;0
11.41;535.31;0
11.42;535.31;0
11.43;535.31;0
11.44;535.31;0
11.45;535.31;0
11.46;535.31;0
11.47;535.31;0
11.48;535.31;0
11.49;535.31;0
11.5;535.31;0
11.51;535.31;0
11.52;535.31;0
11.53;535.31;0
11.54;535.31;0
11.55;535.31;0
11.56;535.31;0
11.57;535.31;0
11.58;535.31;0
11.59;535.31;0
11.6;535.31;0
11.61;535.31;0
11.62;535.31;0
11.63;535.31;0
11.64;535.31;0
11.65;535.31;0
11.66;535.31;0
11.67;535.31;0
11.68;535.31;0
11.69;535.31;0
11.7;535.31;0
11.71;535.31;0
11.72;535.31;0
11.73;535.31;0
11.74;535.31;0
11.75;535.31;0
11.76;535.31;0
11.77;535.31;0
11.78;535.31;0
11.79;535.31;0
11.8;535.31;0
11.81;535.31;0
11.82;535.31;0
11.83;535.31;0
11.84;535.31;0
11.85;535.31;0
11.86;535.31;0
11.87;535.31;0
11.88;535.31;0
11.89;535.31;0
11.9;535.31;0
11.91;535.31;0
11.92;535.31;0
11.93;535.31;0
11.94;535.31;0
11.95;535.31;0
11.96;535.31;0
11.97;850;100
11.98;535.31;0
11.99;535.31;0
12;535.31;0
12.01;535.31;0
12.02;850;100
12.03;850;100
12.04;535.31;0
12.05;535.31;0
12.06;535.31;0
12.07;535.31;0
12.08;535.31;0
12.09;535.31;0
12.1;535.31;0
12.11;535.31;0
12.12;535.31;0
12.13;533.14;0
12.14;533.14;0
12.15;850;100
12.16;850;100
12.17;533.14;0
12.18;533.14;0
12.19;533.14;0
12.2;533.14;0
12.21;533.14;0
12.22;533.14;0
12.23;533.14;0
12.24;533.14;0
12.25;533.14;0
12.26;533.14;0
12.27;533.14;0
12.28;533.14;0
12.29;533.14;0
12.3;533.14;0
12.31;533.14;0
12.32;533.14;0
12.33;533.14;0
12.34;533.14;0
12.35;533.14;0
12.36;533.14;0
12.37;533.14;0
12.38;533.14;0
12.39;533.14;0
12.4;533.14;0
12.41;533.14;0
12.42;533.14;0
12.43;850;100
12.44;533.14;0
12.45;533.14;0
12.46;533.14;0
12.47;533.14;0
12.48;533.14;0
12.49;533.14;0
12.5;533.14;0
12.51;533.14;0
12.52;533.14;0
12.53;533.14;0
12.54;533.14;0
12.55;533.14;0
12.56;533.14;0
12.57;533.14;0
12.58;533.14;0
12.59;533.14;0
12.6;533.14;0
12.61;533.14;0
12.62;533.14;0
12.63;533.14;0
12.64;533.14;0
12.65;533.14;0
12.66;533.14;0
12.67;850;100
12.68;850;100
12.69;850;100
12.7;533.14;0
12.71;533.14;0
12.72;533.14;0
12.73;533.14;0
12.74;533.14;0
12.75;533.14;0
12.76;533.14;0
12.77;850;100
12.78;850;100
12.79;533.14;0
12.8;533.14;0
12.81;533.14;0
12.82;850;100
12.83;850;100
12.84;533.14;0
12.85;533.14;0
12.86;533.14;0
12.87;533.14;0
12.88;533.14;0
12.89;533.14;0
12.9;533.14;0
12.91;533.14;0
12.92;533.14;0
12.93;533.14;0
12.94;533.14;0
12.95;533.14;0
12.96;533.14;0
12.97;533.14;0
12.98;533.14;0
12.99;533.14;0
13;533.14;0
13.01;533.14;0
13.02;533.14;0
13.03;533.14;0
13.04;533.14;0
13.05;533.14;0
13.06;533.14;0
13.07;533.14;0
13.08;533.14;0
13.09;533.14;0
13.1;533.14;0
13.11;533.14;0
13.12;533.14;0
13.13;533.14;0
13.14;533.14;0
13.15;533.14;0
13.16;533.14;0
13.17;533.14;0
13.18;533.14;0
13.19;533.14;0
13.2;533.14;0
13.21;573.78;0
13.22;573.78;0
13.23;573.78;0
13.24;573.78;0
13.25;573.78;0
13.26;573.78;0
13.27;573.78;0
13.28;573.78;0
13.29;573.78;0
13.3;573.78;0
13.31;573.78;0
13.32;573.78;0
13.33;573.78;0
13.34;573.78;0
13.35;573.78;0
13.36;573.78;0
13.37;573.78;0
13.38;573.78;0
